time,duration,poserror,pulsestostop,delay,pos,speed,accel,initial delay
134009530,6360,-43.000000,0,6350.000000,-2841,0.000000,12598.425781,6350.000000
134143141,6363,-139.000000,0,6350.000000,-2862,0.000000,12598.425781,6350.000000
134276743,6361,-41.000000,0,6350.000000,-2883,0.000000,12598.425781,6350.000000
134410328,6360,-138.000000,0,6350.000000,-2904,0.000000,12598.425781,6350.000000
134543942,6367,-39.000000,0,6350.000000,-2925,0.000000,12598.425781,6350.000000
134677521,6362,-137.000000,0,6350.000000,-2946,0.000000,12598.425781,6350.000000
134811126,6363,-37.000000,0,6350.000000,-2967,0.000000,12598.425781,6350.000000
134944719,6362,-136.000000,0,6350.000000,-2988,0.000000,12598.425781,6350.000000
135078323,6360,-35.000000,0,6350.000000,-3009,0.000000,12598.425781,6350.000000
135211937,6368,-133.000000,0,6350.000000,-3030,0.000000,12598.425781,6350.000000
135345550,6360,-34.000000,0,6350.000000,-3051,0.000000,12598.425781,6350.000000
135479165,6367,-131.000000,0,6350.000000,-3072,0.000000,12598.425781,6350.000000
135612759,6362,-33.000000,0,6350.000000,-3093,0.000000,12598.425781,6350.000000
135746377,6361,-130.000000,0,6350.000000,-3114,0.000000,12598.425781,6350.000000
135879976,6367,-31.000000,0,6350.000000,-3135,0.000000,12598.425781,6350.000000
136013576,6352,-129.000000,0,6350.000000,-3156,0.000000,12598.425781,6350.000000
136147185,6363,-28.000000,0,6350.000000,-3177,0.000000,12598.425781,6350.000000
136280773,6361,-127.000000,0,6350.000000,-3198,0.000000,12598.425781,6350.000000
136414382,6359,-27.000000,0,6350.000000,-3219,0.000000,12598.425781,6350.000000
136547987,6363,-125.000000,0,6350.000000,-3240,0.000000,12598.425781,6350.000000
136681575,6361,-27.000000,0,6350.000000,-3261,0.000000,12598.425781,6350.000000
136815174,6368,-123.000000,0,6350.000000,-3282,0.000000,12598.425781,6350.000000
136948750,6362,-25.000000,0,6350.000000,-3303,0.000000,12598.425781,6350.000000
137082343,6360,-122.000000,0,6350.000000,-3324,0.000000,12598.425781,6350.000000
137215942,6365,-23.000000,0,6350.000000,-3345,0.000000,12598.425781,6350.000000
137349546,6361,-122.000000,0,6350.000000,-3366,0.000000,12598.425781,6350.000000
137483165,6367,-20.000000,0,6350.000000,-3387,0.000000,12598.425781,6350.000000
137616773,6361,-119.000000,0,6350.000000,-3408,0.000000,12598.425781,6350.000000
137750368,6361,-19.000000,0,6350.000000,-3429,0.000000,12598.425781,6350.000000
137883963,6363,-117.000000,0,6350.000000,-3450,0.000000,12598.425781,6350.000000
138017546,6361,-19.000000,0,6350.000000,-3471,0.000000,12598.425781,6350.000000
138151145,6362,-115.000000,0,6350.000000,-3492,0.000000,12598.425781,6350.000000
138284754,6366,-17.000000,0,6350.000000,-3513,0.000000,12598.425781,6350.000000
138418348,6361,-113.000000,0,6350.000000,-3534,0.000000,12598.425781,6350.000000
138551937,6367,-14.000000,0,6350.000000,-3555,0.000000,12598.425781,6350.000000
138685535,6361,-114.000000,0,6350.000000,-3576,0.000000,12598.425781,6350.000000
138819141,6363,-12.000000,0,6350.000000,-3597,0.000000,12598.425781,6350.000000
138952747,6360,-111.000000,0,6350.000000,-3618,0.000000,12598.425781,6350.000000
139086348,6361,-10.000000,0,6350.000000,-3639,0.000000,12598.425781,6350.000000
139219948,6363,-109.000000,0,6350.000000,-3660,0.000000,12598.425781,6350.000000
139353545,6360,-11.000000,0,6350.000000,-3681,0.000000,12598.425781,6350.000000
139487145,6362,-107.000000,0,6350.000000,-3702,0.000000,12598.425781,6350.000000
139620753,6361,-9.000000,0,6350.000000,-3723,0.000000,12598.425781,6350.000000
139754357,6361,-105.000000,0,6350.000000,-3744,0.000000,12598.425781,6350.000000
139845723,1780,-103.000000,12,1699.619141,-3765,588.367126,12598.425781,6350.000000
139873800,1092,-149.000000,33,1065.236938,-3786,938.758240,12598.425781,6350.000000
139893857,857,-175.000000,55,841.140381,-3807,1188.862183,12598.425781,6350.000000
139910356,735,-193.000000,76,717.118713,-3828,1394.469238,12598.425781,6350.000000
